model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,NLL,run
GBM_ee,0.2683860722879369,0.23478706416660758,0.3092381768499612,0.3331479273707675,0.2769377927238609,0.08911389840819134,0.08999243540453603,0.18847171090532738,0.31976987190231176,11
GLMM,0.2712141476035482,0.23681647426836816,0.306625692987778,0.3391310335237265,0.25073318519896703,0.07517780182092908,0.07577053229066201,0.19158564391874042,0.33863174666135376,11
GPBoost,0.2708978741302287,0.23346648307596785,0.3111855705232918,0.33664698813576677,0.26166934937132325,0.07462030000544684,0.07549920602821442,0.19092145271868605,0.3396353343646229,11
GLMMNet,0.26978259346151073,0.23291376398647212,0.3096523972980533,0.3362919829868697,0.2632257154724911,0.07713642942699026,0.07858799615125961,0.19137040943760084,0.35853717262264917,11
GLMMNet_l2,0.2628469889336189,0.22409358930825385,0.3123074482546092,0.327668834908556,0.30052579230263854,0.08458663522526151,0.08574255557702623,0.18555633724875734,0.30843592034493883,11
GLM_ignore_cat,0.2739651360471343,0.22992702678667493,0.31050719919110437,0.34018276921111834,0.19916426829187606,0.09958124779748964,0.09918608940367371,0.19238599732989814,0.3406662839042927,12
GLM_one_hot,0.2673630694857554,0.22432657887346577,0.3042482072601926,0.33405135356938154,0.2277724531684049,0.077891986747001,0.07562037979502656,0.1884824151835505,0.3224779885821651,12
GLM_GLMM_enc,0.26789321027514784,0.22509828236015372,0.2982524198781543,0.33383805267029715,0.22875831501379762,0.0761508530373543,0.0746767169048104,0.18854631589645848,0.32183925736605806,12
GBM_ignore_cat,0.2642687469929131,0.22177118642254665,0.2958208892760811,0.32907043733420405,0.2506295651355722,0.10212575494247819,0.10179243410215266,0.18609814141373163,0.307455077313534,12
GBM_one_hot,0.26206844884397834,0.21862851798960303,0.2933125830268672,0.3271374661906326,0.2594073644116196,0.093772939279568,0.09328176572830207,0.18484247372367021,0.30156372268646653,12
GBM_GLMM_enc,0.2589280894038092,0.2191469866681412,0.28805418531037386,0.32302833952516347,0.27789547250273017,0.07684033293934152,0.07591073100627767,0.18245759881584428,0.2889233120643961,12
NN_ee,0.26344721509284197,0.21969909141849042,0.2921776889976442,0.32966705175330907,0.24790984044892783,0.0777420936228808,0.07586701470196283,0.18607646478969997,0.3092664652855835,12
GBM_ee,0.2628532380797374,0.2223173942254529,0.29789916233342073,0.3276077649755732,0.25727645484754724,0.09838524012828989,0.09775329776248357,0.18515009586856185,0.3030003085321871,12
GLMM,0.26716279344993354,0.22504128423685327,0.2973222799012875,0.33339283998947744,0.23081402804793205,0.0744630902539692,0.07249069900466733,0.188260688378212,0.3220752063623201,12
GPBoost,0.2632049622049646,0.2209522949956533,0.3028772097695917,0.328963323655758,0.2511173315888965,0.07274577873720794,0.07162340588803959,0.18601054508162623,0.31499284095079794,12
GLMMNet,0.26640239778548136,0.2289265775226556,0.3011792234833885,0.33206617728718046,0.23692345746756993,0.07723758255197134,0.07584954931261698,0.18860965864605173,0.3437180836368225,12
GLMMNet_l2,0.2588736209703514,0.21849845711351942,0.3039252716786738,0.3227238740047676,0.2792560486064328,0.07980000808518248,0.07915971338478164,0.1827537838116264,0.2962342853550332,12
GLM_ignore_cat,0.26502126013972077,0.22379165534780326,0.29975337185841866,0.3336375846499045,0.21972754742379763,0.10534901334009948,0.10640558290625418,0.18789821063523496,0.32123858217969453,13
GLM_one_hot,0.25826946958914243,0.2157250220560737,0.2880467989341946,0.3266593790165096,0.25202582783842464,0.08390734140330845,0.08182994981711139,0.18374678296987026,0.30010122783705706,13
GLM_GLMM_enc,0.25831330686848314,0.2186997989695269,0.29012584955023857,0.3263179402112259,0.25358864190730157,0.08214206682951605,0.08044134705656826,0.1836405814879428,0.2990554370374437,13
GBM_ignore_cat,0.25611758289485204,0.21657654348070188,0.2877935397207249,0.32194975138657833,0.2734382583252476,0.1058840915691055,0.10706076679973506,0.18136275447337824,0.28557873599515,13
GBM_one_hot,0.2533385920517205,0.21450181525586787,0.2832337219465276,0.31958740403282654,0.2840616185281519,0.09860033044261377,0.0994639164485328,0.17983963498810213,0.27821405567600055,13
GBM_GLMM_enc,0.24964274701401115,0.20824994632154936,0.27948803305445824,0.315171281597578,0.3037108738198111,0.08423131531711228,0.08344238057620532,0.1773140712051251,0.2642994963725274,13
