model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,run
GLMMNet,0.24974207861313708,0.2134063443727282,0.1144910402741024,0.3111546499029933,0.6825352556487572,0.08261901287118373,0.08271240673384182,0.17687604439834545,5
GLMMNet_dropout,0.36838001141964444,0.303354214587887,0.17495183418720028,0.4640597216157836,0.2938602464591823,0.3094337999314681,0.3089036744095966,0.2830218768684223,5
GLM_ignore_cat,0.36123685984493775,0.29425589805853736,0.16161568197183535,0.4609565260888826,0.28251980200541404,0.31673388732017155,0.31357175826031275,0.25765506951248807,6
GLM_one_hot,0.27724781751337735,0.23140097853502173,0.12803431089777398,0.34895941392285035,0.5888125782927683,0.08987583943055463,0.08898404303506867,0.1963600310629701,6
GLM_GLMM_enc,0.2795698087155702,0.2332559185279217,0.12916265347489725,0.35195663577551045,0.58171884463464,0.10041759286041756,0.10020406765737666,0.19803706527830248,6
GBM_ignore_cat,0.3475300349138389,0.29491881741692694,0.16282887103207133,0.4398492220958561,0.34672259141395034,0.3156716766355845,0.313066641964178,0.24618958534521607,6
GBM_one_hot,0.3112850740293806,0.26930343068174933,0.14335325976691887,0.3902248934094209,0.4858143824443265,0.2236684452401797,0.2245405079881797,0.2200470618730458,6
GBM_GLMM_enc,0.25624482742794547,0.21361397936768423,0.11810834242263808,0.3245625376192734,0.6442976258371709,0.104394442980821,0.10339488943887314,0.18256324523613918,6
NN_ee,0.2538845059930082,0.21235275395552755,0.11807631512585659,0.32055568027659914,0.6530259962836231,0.08605984855609924,0.08432772872632338,0.18046651036385564,6
GBM_ee,0.3155447082763659,0.26442214680116294,0.14363555192270755,0.40208430770926534,0.45408600057390935,0.2557226608417137,0.2547185133850113,0.22484615366848237,6
GLMM,0.27687640924116735,0.22990162492518185,0.12685446421851737,0.3488160390658337,0.5891503930896623,0.0891015390724918,0.08819319033602599,0.19624545154946504,6
GPBoost,0.26139617302173873,0.21700043654120804,0.11837521029869583,0.33037612237776814,0.6314407745990507,0.08262705252149243,0.08151908956136264,0.18622851774453783,6
GLMMNet,0.25529761577128446,0.21353606100183797,0.1215383406905522,0.3230517316001085,0.6476014361083439,0.0916887949222833,0.08969251035962873,0.18268241227489,6
GLMMNet_dropout,0.3177734123380058,0.2564172221174291,0.15132093818367215,0.411085253873567,0.42937107759606663,0.25011201308466224,0.24204531741138322,0.24135541425033008,6
GLM_ignore_cat,0.3484681876304671,0.2931656605290558,0.16239947121163972,0.4363094051971107,0.3550471212796362,0.2827016383907667,0.28053566944130603,0.24595800368382115,7
GLM_one_hot,0.27473612038745043,0.2293958410123187,0.12856076271483652,0.34325532439712775,0.6008157470523298,0.07987485405111354,0.0784370945845146,0.19377655986825285,7
GLM_GLMM_enc,0.2764390684314826,0.23154375226744806,0.12904189772968724,0.3453029125020612,0.5960391114455517,0.08837537780172304,0.08747208890607387,0.19484761426362024,7
GBM_ignore_cat,0.3222346852969562,0.27244203877029793,0.1547214107006212,0.4055012179384608,0.4429128232837304,0.274317358810201,0.2716759404256468,0.22843111174039096,7
GBM_one_hot,0.30117595592576046,0.25308572812253494,0.14179538266074704,0.3780694225152626,0.5157362690098939,0.2093077078211824,0.2075750234768341,0.2131891880420355,7
GBM_GLMM_enc,0.25282462958463614,0.21267750853394563,0.11861496909574654,0.31728182364294377,0.6589412296045398,0.09201028204293787,0.08961152702097455,0.17862075282395554,7
NN_ee,0.2478061852591253,0.20476528932201976,0.11684153072229489,0.31191518093677434,0.6703812859788041,0.08039199106068612,0.08001599009419795,0.17571272550634562,7
GBM_ee,0.29489853986264236,0.25029965139875454,0.13803108049662594,0.3706391619736884,0.5345838531612761,0.20752574826440176,0.20542186053017053,0.20866852162722072,7
GLMM,0.2743096331049619,0.22950803585873647,0.1289259910559169,0.343013876219503,0.6013771274917263,0.07976478041111988,0.07834217597663577,0.19363268946860213,7
GPBoost,0.26048959937146704,0.2197102085034549,0.12402189393559125,0.32646055772281934,0.6389226284887768,0.07683379162590465,0.07496810866129028,0.1846221815375689,7
GLMMNet,0.24793580238329788,0.20575532901472826,0.1164741518607019,0.31125121991977933,0.6717830840137451,0.07544633698378199,0.07474298436700262,0.176755775153518,7
GLMMNet_dropout,0.3240916848562159,0.27689368670243697,0.16422407040792913,0.4032341536817137,0.44912450370249446,0.2530521328621823,0.25199661849454835,0.23297684314957595,7
GLM_ignore_cat,0.35435125621419605,0.2944825828466425,0.1649124946680874,0.4439867544380342,0.32259661020105035,0.2730593001691741,0.2787496216389401,0.250152538448256,8
GLM_one_hot,0.2837641529800211,0.2422044506341453,0.13339529214526075,0.35531420195363833,0.5661571233734932,0.08311089555190768,0.08265070008841657,0.20010195728826094,8
GLM_GLMM_enc,0.2852478503064708,0.24109500641084358,0.13414686914369245,0.357009558620475,0.5620071448681371,0.08876639611337488,0.09002790239694791,0.20109806199237765,8
GBM_ignore_cat,0.33667553234674924,0.2873975267936011,0.15874428557598574,0.42031121928289594,0.3929152784394291,0.2743082468238321,0.2785474145860106,0.23739406653243258,8
GBM_one_hot,0.31273134355185167,0.2680921509302663,0.14720543682647663,0.3904860896776453,0.47601546063127587,0.2136499874175984,0.21590669859094241,0.22064365448571907,8
GBM_GLMM_enc,0.26024078080196644,0.2191612224090066,0.12182950176000736,0.3259163330951956,0.6349775391800874,0.08551830183399652,0.0873094595340803,0.18395374846779566,8
NN_ee,0.2557413517511986,0.21640547811241584,0.11956089756842495,0.317522270609137,0.6535379100019567,0.0742568213626366,0.07357809412534512,0.1796431112059278,8
GBM_ee,0.30656493232584214,0.2594280622411905,0.14556169040056458,0.3831532179137948,0.49551031321674366,0.2059651091994318,0.21016071047196797,0.21615385669015663,8
GLMM,0.2837769628891961,0.24229004739443238,0.1338143009392787,0.3553923770679591,0.5659661968791074,0.08269954328841563,0.08268189717495675,0.20019059319055982,8
GPBoost,0.2699110264295463,0.23015233297059756,0.12796657312605186,0.33713957856949495,0.6094048764349251,0.07724684540696955,0.07703703268524788,0.19110963146805302,8
GLMMNet,0.2581914451229854,0.22517247304637023,0.12173315006001267,0.32213282192005743,0.6434033229080413,0.07565668682707898,0.07557098381253116,0.18333702077284833,8
GLMMNet_dropout,0.32217712013451166,0.26324277221589754,0.15584234580040082,0.4056663175614007,0.43448355662662774,0.2396726407044548,0.2411565892312308,0.23774143571519243,8
GLM_ignore_cat,0.3482966800169914,0.29159502449798635,0.16162072548592876,0.4404569384304047,0.30950672008840097,0.26984377203921456,0.2741627288915827,0.24733087200571818,9
GLM_one_hot,0.28116606876628714,0.2367276956915011,0.12863828692057755,0.3532766554815253,0.5557960407001789,0.08076664657994191,0.07827352863493968,0.19901890513123688,9
GLM_GLMM_enc,0.28380134778660365,0.2399900017432074,0.13094560218786072,0.356014367248429,0.5488846613584115,0.0907005267982349,0.08973416667002651,0.20060850514287268,9
GBM_ignore_cat,0.3284607834696411,0.2781340218954558,0.1532507529505478,0.41371370308087946,0.39081057384498297,0.27316571488369473,0.27695328785462575,0.23242642008733036,9
